dateBeforeFlight, Price
132300,301.35
195600,301.35
282000,301.35
368400,261.14
454800,261.14
541200,301.35
627600,223.16
714000,189.65
800400,160.61
886800,160.61
973200,160.61
1059600,129.34
1146000,129.34
1232400,129.34
1318800,89.13
1405200,89.13
1491600,71.26
1578000,71.26
1664400,89.13
1750800,71.26
1837200,89.13
1923600,60.09
2010000,51.15
2096400,60.09
2182800,60.09
2269200,71.26
2355600,71.26
2442000,60.09
2528400,39.98
2614800,39.98
2701200,39.98
2787600,60.09
2874000,51.15
2960400,60.09
2442000,60.09
2528400,39.98
2614800,39.98
2701200,39.98
2787600,60.09
2874000,51.15
2960400,60.09
3046800,39.98
3133200,39.98
3219600,28.81
3306000,28.81
3392400,39.98
3478800,51.15
3565200,51.15
3651600,39.98
3738000,28.81
3824400,28.81
3910800,39.98
3997200,51.15
4083600,71.26
4170000,89.13
4256400,60.09
4342800,39.98
4429200,28.81
4515600,28.81
4602000,28.81
4688400,51.15
4774800,60.09
4861200,39.98
4947600,39.98
5034000,39.98
5120400,39.98
5206800,39.98
5293200,39.98
5379600,51.15
4861200,39.98
4947600,39.98
5034000,39.98
5120400,39.98
5206800,39.98
5293200,39.98
5379600,51.15
5466000,39.98
5552400,39.98
5638800,39.98
5725200,39.98
5811600,39.98
5898000,39.98
5984400,39.98
6070800,39.98
6157200,39.98
6243600,39.98
6330000,39.98
6416400,39.98
6502800,51.15
6589200,39.98
6675600,39.98
6762000,51.15
6848400,39.98
6934800,51.15
7021200,51.15
7107600,60.09
7189500,51.15
7275900,60.09
7362300,51.15
7448700,51.15
7535100,51.15
7621500,60.09
7707900,51.15
7794300,51.15
7275900,60.09
7362300,51.15
7448700,51.15
7535100,51.15
7621500,60.09
7707900,51.15
7794300,51.15
7880700,51.15
7967100,51.15
8053500,39.98
8139900,60.09
8226300,51.15
8312700,71.26
8399100,111.47
8485500,60.09
8571900,51.15
8658300,51.15
8744700,51.15
8831100,51.15
8917500,51.15
9003900,60.09
9090300,51.15
9176700,51.15
9263100,51.15
9349500,51.15
9435900,51.15
9522300,51.15
9608700,51.15
9695100,51.15
9781500,51.15
9867900,60.09
9954300,51.15
10040700,60.09
10127100,60.09
10213500,60.09
9695100,51.15
9781500,51.15
9867900,60.09
9954300,51.15
10040700,60.09
10127100,60.09
10213500,60.09
10299900,71.26
10386300,89.13
10472700,71.26
10559100,89.13
10645500,89.13
10731900,89.13
10818300,111.47
10904700,111.47
10991100,129.34
11077500,89.13
11163900,89.13
11250300,89.13
11336700,89.13
11423100,89.13
11509500,89.13
11595900,89.13
11682300,89.13
11768700,89.13
11859600,89.13
11946000,89.13
12032400,129.34
12118800,111.47
12205200,111.47
12291600,111.47
12378000,111.47
12464400,111.47
12550800,129.34
12637200,129.34
12723600,129.34
12810000,111.47
12896400,111.47
12982800,89.13
13069200,111.47
13155600,111.47
13242000,111.47
12723600,129.34
12810000,111.47
12896400,111.47
12982800,89.13
13069200,111.47
13155600,111.47
13242000,111.47
13328400,111.47
13414800,111.47
13501200,111.47
13587600,89.13
13674000,111.47
13760400,111.47
13846800,129.34
13933200,111.47
14019600,111.47
14106000,111.47
14192400,111.47
14278800,111.47
14365200,129.34
14451600,129.34
14538000,129.34
14624400,129.34
14710800,129.34
14797200,111.47
14883600,129.34
14970000,129.34
15056400,129.34
15142800,129.34
15229200,129.34
15315600,129.34
15402000,129.34
15488400,111.47
15574800,129.34
15661200,129.34
15142800,129.34
15229200,129.34
15315600,129.34
15402000,129.34
15488400,111.47
15574800,129.34
15661200,129.34
15747600,129.34
15834000,111.47
15920400,111.47
16006800,111.47
16093200,111.47
16179600,111.47
16266000,111.47
16352400,111.47
16438800,111.47
16525200,111.47
16611600,111.47
16698000,111.47
16784400,111.47
16870800,111.47
16957200,111.47
17043600,111.47
17130000,89.13
17216400,89.13
17302800,111.47
17389200,129.34
17475600,129.34
17562000,129.34
17648400,129.34
17734800,129.34
17821200,129.34
17907600,129.34
17994000,129.34
18080400,129.34
18166800,129.34
18253200,111.47
18339600,111.47
18426000,129.34
18512400,129.34
18598800,160.61
18685200,160.61
18166800,129.34
18253200,111.47
18339600,111.47
18426000,129.34
18512400,129.34
18598800,160.61
18685200,160.61
18771600,129.34
18858000,129.34
18944400,129.34
19030800,129.34
19117200,160.61
19203600,160.61
19290000,160.61
19376400,189.65
19462800,189.65
19549200,189.65
19635600,189.65
19722000,189.65
19808400,189.65
19894800,189.65
19981200,189.65
20067600,189.65
20154000,189.65
20240400,189.65
20326800,189.65
20413200,189.65
20499600,189.65
20586000,189.65
20672400,189.65
20758800,189.65
20845200,189.65
20931600,189.65
21018000,189.65
21104400,189.65
20586000,189.65
20672400,189.65
20758800,189.65
20845200,189.65
20931600,189.65
21018000,189.65
21104400,189.65
21190800,160.61
21277200,160.61
21363600,160.61
21450000,160.61
21536400,160.61
21622800,160.61
21709200,160.61
21795600,160.61
21882000,160.61
21968400,160.61
22054800,160.61
22141200,160.61
22227600,160.61
22314000,160.61
22400400,160.61
22486800,129.34
22573200,129.34
22659600,129.34
22746000,129.34
22832400,129.34
22918800,129.34
23005200,129.34
23091600,129.34
23178000,111.47
23264400,111.47
23350800,111.47
23437200,89.13
23523600,89.13
23005200,129.34
23091600,129.34
23178000,111.47
23264400,111.47
23350800,111.47
23437200,89.13
23523600,89.13
23610000,89.13
23696400,89.13
23782800,89.13
23869200,89.13
23955600,89.13
24042000,89.13
24128400,89.13
24214800,89.13
24301200,89.13
24387600,71.26
24474000,71.26
24560400,71.26
24646800,71.26
24733200,89.13
24819600,71.26
24906000,71.26
24992400,71.26
25078800,71.26
25165200,71.26
25251600,71.26
25338000,89.13
25424400,71.26
25510800,71.26
25597200,71.26
25683600,89.13
25770000,89.13
25856400,111.47
109200,301.35
195600,301.35
282000,301.35
368400,301.35
454800,301.35
541200,223.16
627600,189.65
714000,189.65
800400,160.61
886800,160.61
