dateBeforeFlight, Price
45600,241.03
132000,180.72
218400,151.68
304800,129.34
391200,71.26
477600,89.13
564000,151.68
650400,71.26
736800,51.15
823200,60.09
909600,39.98
996000,51.15
1082400,39.98
1168800,71.26
1255200,39.98
1341600,28.81
1428000,28.81
1514400,51.15
1600800,89.13
1687200,71.26
1773600,51.15
1860000,22.11
1946400,8.71
2032800,15.41
2119200,8.71
2205600,15.41
2292000,8.71
2378400,15.41
1860000,22.11
1946400,8.71
2032800,15.41
2119200,8.71
2205600,15.41
2292000,8.71
2378400,15.41
2464800,8.71
2551200,8.71
2637600,8.71
2724000,8.71
2810400,8.71
2896800,8.71
2983200,15.41
3069600,8.71
3156000,8.71
3242400,8.71
3328800,15.41
3415200,28.81
3501600,39.98
3588000,28.81
3674400,39.98
3760800,39.98
3847200,60.09
3933600,60.09
4106400,60.09
4192800,71.26
4279200,71.26
4365600,89.13
4452000,89.13
4538400,28.81
4624800,60.09
4711200,180.72
4797600,241.03
4279200,71.26
4365600,89.13
4452000,89.13
4538400,28.81
4624800,60.09
4711200,180.72
4797600,241.03
4884000,180.72
4970400,129.34
5056800,111.47
5143200,89.13
5229600,129.34
5316000,129.34
5402400,111.47
5488800,51.15
5575200,28.81
5661600,28.81
5748000,24.34
5834400,24.34
5920800,22.11
6007200,24.34
6093600,15.41
6180000,15.41
6266400,8.71
6352800,15.41
6439200,22.11
6525600,15.41
6612000,15.41
6698400,8.71
6784800,8.71
6871200,8.71
6957600,8.71
7044000,15.41
7130400,22.11
7216800,39.98
7303200,22.11
7389600,22.11
7476000,22.11
7562400,22.11
7648800,24.34
7735200,24.34
7821600,24.34
7303200,22.11
7389600,22.11
7476000,22.11
7562400,22.11
7648800,24.34
7735200,24.34
7821600,24.34
7908000,24.34
7994400,28.81
8080800,24.34
8167200,28.81
8253600,28.81
8340000,39.98
8426400,51.15
8512800,28.81
8599200,28.81
8685600,28.81
8772000,28.81
8858400,39.98
8944800,39.98
9031200,51.15
9117600,51.15
9204000,39.98
9290400,39.98
9376800,39.98
9463200,51.15
9549600,60.09
9636000,60.09
9722400,51.15
9808800,51.15
9895200,60.09
9981600,51.15
10068000,51.15
10154400,51.15
10240800,60.09
9722400,51.15
9808800,51.15
9895200,60.09
9981600,51.15
10068000,51.15
10154400,51.15
10240800,60.09
10327200,60.09
10413600,60.09
10500000,51.15
10586400,51.15
10672800,60.09
10759200,60.09
10845600,60.09
10932000,51.15
11018400,51.15
11104800,51.15
11191200,39.98
11277600,51.15
11364000,51.15
11450400,51.15
11536800,51.15
11623200,51.15
11709600,51.15
11796000,51.15
11882400,51.15
11968800,51.15
12028200,60.09
12114600,51.15
12201000,39.98
12287400,39.98
12373800,39.98
12460200,51.15
12546600,51.15
12633000,60.09
12114600,51.15
12201000,39.98
12287400,39.98
12373800,39.98
12460200,51.15
12546600,51.15
12633000,60.09
12719400,39.98
12805800,39.98
12892200,39.98
12978600,39.98
13065000,39.98
13151400,51.15
13237800,51.15
13324200,51.15
13410600,39.98
13497000,39.98
13583400,39.98
13669800,51.15
13756200,51.15
13842600,51.15
13929000,51.15
14015400,39.98
14101800,39.98
14188200,39.98
14274600,39.98
14361000,39.98
14447400,39.98
14533800,39.98
14620200,39.98
14706600,51.15
14793000,71.26
14879400,39.98
14965800,39.98
15052200,51.15
14533800,39.98
14620200,39.98
14706600,51.15
14793000,71.26
14879400,39.98
14965800,39.98
15052200,51.15
15138600,51.15
15225000,51.15
15311400,51.15
15397800,60.09
15484200,71.26
15570600,71.26
15657000,71.26
15743400,89.13
15829800,89.13
15916200,51.15
16002600,51.15
16089000,60.09
16175400,71.26
16261800,89.13
16348200,71.26
16434600,71.26
16521000,60.09
16607400,60.09
16693800,60.09
16780200,60.09
16866600,60.09
16953000,71.26
17039400,71.26
17125800,71.26
17212200,60.09
17298600,71.26
17385000,71.26
17471400,71.26
17557800,60.09
17644200,51.15
17730600,51.15
17817000,51.15
17903400,51.15
17989800,60.09
18076200,60.09
17557800,60.09
17644200,51.15
17730600,51.15
17817000,51.15
17903400,51.15
17989800,60.09
18076200,60.09
18162600,60.09
18249000,51.15
18335400,51.15
18421800,51.15
18508200,51.15
18594600,51.15
18681000,51.15
18767400,51.15
18853800,51.15
18940200,51.15
19026600,60.09
19113000,51.15
19199400,51.15
19285800,60.09
19372200,51.15
19458600,51.15
19545000,51.15
19631400,51.15
19717800,51.15
19804200,51.15
19890600,51.15
19977000,51.15
20063400,39.98
20149800,39.98
20236200,39.98
20322600,51.15
20409000,51.15
20495400,51.15
19977000,51.15
20063400,39.98
20149800,39.98
20236200,39.98
20322600,51.15
20409000,51.15
20495400,51.15
20581800,51.15
20668200,51.15
20754600,51.15
20841000,51.15
20927400,51.15
21013800,60.09
21100200,60.09
21186600,60.09
21273000,60.09
21359400,60.09
21445800,60.09
21532200,60.09
21618600,71.26
21705000,71.26
21791400,71.26
21877800,71.26
21964200,71.26
22050600,71.26
22137000,89.13
22223400,89.13
22309800,89.13
22396200,89.13
22482600,89.13
22569000,89.13
22655400,111.47
22741800,111.47
22828200,129.34
22914600,129.34
23001000,111.47
23087400,111.47
23173800,111.47
23260200,111.47
23346600,111.47
23433000,129.34
23519400,129.34
23001000,111.47
23087400,111.47
23173800,111.47
23260200,111.47
23346600,111.47
23433000,129.34
23519400,129.34
23605800,129.34
23692200,129.34
23778600,129.34
23865000,129.34
23951400,129.34
24037800,151.68
24124200,151.68
24210600,151.68
24297000,151.68
24383400,151.68
24469800,151.68
24556200,151.68
24642600,151.68
24729000,151.68
24815400,151.68
24901800,151.68
24988200,151.68
25074600,151.68
25161000,151.68
25247400,151.68
25333800,151.68
25420200,151.68
25506600,129.34
25593000,129.34
25679400,129.34
25765800,111.47
25852200,129.34
25938600,111.47
25420200,151.68
25506600,129.34
25593000,129.34
25679400,129.34
25765800,111.47
25852200,129.34
25938600,111.47
26025000,111.47
26111400,111.47
26197800,111.47
26284200,89.13
26370600,89.13
26457000,111.47
26543400,111.47
26629800,111.47
26716200,111.47
26802600,89.13
26889000,89.13
26975400,89.13
27061800,111.47
27148200,111.47
27234600,111.47
27321000,89.13
27407400,89.13
27493800,71.26
27580200,89.13
27666600,89.13
27753000,111.47
27839400,111.47
27925800,89.13
28012200,89.13
28098600,71.26
28185000,71.26
28271400,89.13
28357800,89.13
27839400,111.47
27925800,89.13
28012200,89.13
28098600,71.26
28185000,71.26
28271400,89.13
28357800,89.13
28444200,89.13
28530600,71.26
28617000,71.26
28703400,71.26
28789800,71.26
28876200,89.13
28962600,89.13
29049000,71.26
29135400,71.26
29221800,71.26
29308200,71.26
29394600,71.26
29481000,89.13
29567400,89.13
29653800,89.13
29740200,71.26
29826600,71.26
29913000,71.26
29999400,71.26
30085800,71.26
30172200,60.09
30258600,60.09
30345000,51.15
30431400,51.15
30517800,60.09
30604200,71.26
30690600,71.26
45600,211.99
132000,180.72
218400,129.34
304800,89.13
391200,89.13
477600,151.68
564000,71.26
650400,60.09
736800,51.15
823200,51.15
909600,51.15
996000,51.15
1082400,71.26
1168800,39.98
1255200,39.98
1341600,39.98
1428000,51.15
1514400,89.13
1600800,71.26
1687200,51.15
1773600,24.34
1860000,15.41
1946400,15.41
2032800,8.71
2119200,24.34
2205600,15.41
2292000,15.41
1773600,24.34
1860000,15.41
1946400,15.41
2032800,8.71
2119200,24.34
2205600,15.41
2292000,15.41
2378400,8.71
2464800,8.71
2551200,8.71
2637600,8.71
2724000,8.71
2810400,8.71
2896800,8.71
2983200,8.71
3069600,8.71
3156000,8.71
3242400,15.41
3328800,28.81
3415200,39.98
3501600,39.98
3588000,39.98
3674400,39.98
3760800,60.09
3847200,51.15
4020000,60.09
4106400,89.13
4192800,71.26
4279200,89.13
4365600,89.13
4452000,39.98
4538400,71.26
4624800,180.72
4711200,241.03
4192800,71.26
4279200,89.13
4365600,89.13
4452000,39.98
4538400,71.26
4624800,180.72
4711200,241.03
4797600,180.72
4884000,129.34
4970400,111.47
5056800,111.47
5143200,111.47
5229600,129.34
5316000,111.47
5402400,51.15
5488800,28.81
5575200,28.81
5661600,24.34
5748000,24.34
5834400,22.11
5920800,24.34
6007200,15.41
6093600,15.41
6180000,8.71
6266400,15.41
6352800,22.11
6439200,15.41
6525600,15.41
6612000,8.71
6698400,8.71
6784800,8.71
6871200,8.71
6957600,15.41
7044000,22.11
7130400,39.98
7216800,22.11
7303200,22.11
7389600,22.11
7476000,22.11
7562400,24.34
7648800,24.34
7735200,24.34
7216800,22.11
7303200,22.11
7389600,22.11
7476000,22.11
7562400,24.34
7648800,24.34
7735200,24.34
7821600,24.34
7908000,24.34
7994400,24.34
8080800,28.81
8167200,28.81
8253600,39.98
8340000,51.15
8426400,28.81
8512800,28.81
8599200,28.81
8685600,28.81
8772000,39.98
8858400,39.98
8944800,51.15
9031200,51.15
9117600,39.98
9204000,39.98
9290400,39.98
9376800,51.15
9463200,60.09
9549600,60.09
9636000,51.15
9722400,51.15
9808800,51.15
9895200,51.15
9981600,51.15
10068000,51.15
10154400,60.09
9636000,51.15
9722400,51.15
9808800,51.15
9895200,51.15
9981600,51.15
10068000,51.15
10154400,60.09
10240800,60.09
10327200,51.15
10413600,51.15
10500000,51.15
10586400,60.09
10672800,60.09
10759200,60.09
10845600,51.15
10932000,51.15
11018400,51.15
11104800,39.98
11191200,51.15
11277600,51.15
11364000,51.15
11450400,51.15
11536800,51.15
11623200,51.15
11709600,51.15
11796000,51.15
11882400,51.15
11941800,60.09
12028200,51.15
12114600,39.98
12201000,39.98
12287400,39.98
12373800,51.15
12460200,51.15
12546600,60.09
12028200,51.15
12114600,39.98
12201000,39.98
12287400,39.98
12373800,51.15
12460200,51.15
12546600,60.09
12633000,39.98
12719400,39.98
12805800,39.98
12892200,39.98
12978600,39.98
13065000,51.15
13151400,51.15
13237800,51.15
13324200,39.98
13410600,39.98
13497000,39.98
13583400,51.15
13669800,51.15
13756200,51.15
13842600,51.15
13929000,39.98
14015400,39.98
14101800,39.98
14188200,39.98
14274600,39.98
14361000,39.98
14447400,39.98
14533800,39.98
14620200,51.15
14706600,71.26
14793000,39.98
14879400,39.98
14965800,51.15
14447400,39.98
14533800,39.98
14620200,51.15
14706600,71.26
14793000,39.98
14879400,39.98
14965800,51.15
15052200,51.15
15138600,51.15
15225000,51.15
15311400,60.09
15397800,71.26
15484200,71.26
15570600,71.26
15657000,89.13
15743400,89.13
15829800,51.15
15916200,51.15
16002600,60.09
16089000,71.26
16175400,89.13
16261800,71.26
16348200,71.26
16434600,60.09
16521000,60.09
16607400,60.09
16693800,60.09
16780200,60.09
16866600,71.26
16953000,71.26
17039400,71.26
17125800,60.09
17212200,71.26
17298600,71.26
17385000,71.26
17471400,60.09
17557800,51.15
17644200,51.15
17730600,51.15
17817000,51.15
17903400,60.09
17989800,60.09
17471400,60.09
17557800,51.15
17644200,51.15
17730600,51.15
17817000,51.15
17903400,60.09
17989800,60.09
18076200,60.09
18162600,51.15
18249000,51.15
18335400,51.15
18421800,51.15
18508200,51.15
18594600,51.15
18681000,51.15
18767400,51.15
18853800,51.15
18940200,60.09
19026600,51.15
19113000,51.15
19199400,60.09
19285800,51.15
19372200,51.15
19458600,51.15
19545000,51.15
19631400,51.15
19717800,51.15
19804200,51.15
19890600,51.15
19977000,39.98
20063400,39.98
20149800,39.98
20236200,51.15
20322600,51.15
20409000,51.15
19890600,51.15
19977000,39.98
20063400,39.98
20149800,39.98
20236200,51.15
20322600,51.15
20409000,51.15
20495400,51.15
20581800,51.15
20668200,51.15
20754600,51.15
20841000,51.15
20927400,60.09
21013800,60.09
21100200,60.09
21186600,60.09
21273000,60.09
21359400,60.09
21445800,60.09
21532200,71.26
21618600,71.26
21705000,71.26
21791400,71.26
21877800,71.26
21964200,71.26
22050600,89.13
22137000,89.13
22223400,89.13
22309800,89.13
22396200,89.13
22482600,89.13
22569000,111.47
22655400,111.47
22741800,129.34
22828200,129.34
22914600,111.47
23001000,111.47
23087400,111.47
23173800,111.47
23260200,111.47
23346600,129.34
23433000,129.34
22914600,111.47
23001000,111.47
23087400,111.47
23173800,111.47
23260200,111.47
23346600,129.34
23433000,129.34
23519400,129.34
23605800,129.34
23692200,129.34
23778600,129.34
23865000,129.34
23951400,151.68
24037800,151.68
24124200,151.68
24210600,151.68
24297000,151.68
24383400,151.68
24469800,151.68
24556200,151.68
24642600,151.68
24729000,151.68
24815400,151.68
24901800,151.68
24988200,151.68
25074600,151.68
25161000,151.68
25247400,151.68
