dateBeforeFlight, Price
75600,69.98
162000,69.98
248400,59.99
334800,59.99
421200,24.99
507600,14.99
594000,14.99
680400,14.99
766800,14.99
853200,14.99
939600,19.98
1026000,29.99
1112400,14.99
1198800,24.99
1285200,14.99
1371600,14.99
1458000,14.99
1544400,14.99
1630800,49.99
1717200,14.99
1803600,24.99
1890000,14.99
1976400,14.99
2062800,14.99
2149200,39.99
2235600,24.99
2322000,24.99
2408400,29.99
2494800,14.99
2581200,14.99
2667600,14.99
2754000,39.99
2840400,69.98
2926800,49.99
3013200,49.99
2494800,14.99
2581200,14.99
2667600,14.99
2754000,39.99
2840400,69.98
2926800,49.99
3013200,49.99
3099600,19.98
3186000,14.99
3272400,14.99
3358800,14.99
3445200,24.99
3531600,14.99
3618000,59.99
3704400,14.99
3790800,14.99
3877200,14.99
3963600,14.99
4050000,24.99
4136400,14.99
4222800,24.99
4309200,14.99
4395600,14.99
4482000,14.99
4568400,14.99
4654800,29.99
4741200,14.99
4827600,19.98
4914000,14.99
5000400,14.99
5086800,14.99
5173200,29.99
5259600,14.99
5346000,14.99
5432400,14.99
4914000,14.99
5000400,14.99
5086800,14.99
5173200,29.99
5259600,14.99
5346000,14.99
5432400,14.99
5518800,14.99
5605200,14.99
5691600,14.99
5778000,14.99
5864400,29.99
5950800,14.99
6037200,24.99
6123600,14.99
6210000,14.99
6296400,14.99
6382800,14.99
6469200,14.99
6555600,14.99
6642000,14.99
6728400,14.99
6814800,14.99
6901200,29.99
6987600,39.99
7074000,59.99
7160400,39.99
7244100,14.99
7330500,24.99
7416900,19.98
7503300,14.99
7589700,19.98
7676100,14.99
7762500,14.99
7848900,19.98
7330500,24.99
7416900,19.98
7503300,14.99
7589700,19.98
7676100,14.99
7762500,14.99
7848900,19.98
7935300,14.99
8021700,14.99
8108100,14.99
8194500,14.99
8280900,29.99
8367300,19.98
8453700,14.99
8540100,14.99
8626500,14.99
8712900,14.99
8799300,14.99
8885700,29.99
8972100,14.99
9058500,14.99
9144900,14.99
9231300,14.99
9317700,14.99
9404100,24.99
9490500,59.99
9576900,24.99
9663300,24.99
9749700,24.99
9836100,24.99
9922500,19.98
10008900,39.99
10095300,89.99
10181700,29.99
10268100,39.99
9749700,24.99
9836100,24.99
9922500,19.98
10008900,39.99
10095300,89.99
10181700,29.99
10268100,39.99
10354500,49.99
10440900,39.99
10527300,49.99
10613700,59.99
10700100,59.99
10786500,49.99
10872900,29.99
10959300,39.99
11045700,49.99
11132100,39.99
11218500,59.99
11304900,69.98
11391300,39.99
11477700,29.99
11564100,29.99
11650500,29.99
11736900,19.98
11823300,59.99
11909700,109.99
11996100,59.99
12082500,29.99
12168900,39.99
12255300,39.99
12341700,39.99
12428100,49.99
12514500,89.99
12600900,39.99
12687300,29.99
12773700,29.99
12860100,29.99
12946500,19.98
13032900,39.99
13119300,89.99
13205700,69.98
13292100,39.99
12773700,29.99
12860100,29.99
12946500,19.98
13032900,39.99
13119300,89.99
13205700,69.98
13292100,39.99
13378500,49.99
13464900,39.99
13551300,29.99
13637700,49.99
13724100,89.99
13810500,89.99
13896900,59.99
13983300,69.98
14069700,69.98
14156100,39.99
14242500,109.99
14328900,189.99
14415300,89.99
14501700,69.98
14588100,69.98
14674500,69.98
14760900,69.98
14847300,109.99
14933700,89.99
15020100,109.99
15106500,89.99
15192900,89.99
15279300,89.99
15365700,89.99
15452100,109.99
15538500,89.99
15624900,109.99
15711300,89.99
15192900,89.99
15279300,89.99
15365700,89.99
15452100,109.99
15538500,89.99
15624900,109.99
15711300,89.99
15797700,89.99
15884100,89.99
15970500,89.99
16056900,109.99
16143300,109.99
16229700,109.99
16316100,89.99
16402500,49.99
16488900,49.99
16575300,59.99
16661700,59.99
16748100,59.99
16834500,69.98
16920900,59.99
17007300,49.99
17093700,49.99
17180100,49.99
17266500,49.99
17352900,49.99
17439300,49.99
17525700,49.99
17612100,49.99
17698500,49.99
17784900,49.99
17871300,49.99
17957700,49.99
18044100,49.99
18130500,49.99
18216900,39.99
18303300,39.99
18389700,39.99
18476100,39.99
18562500,39.99
18648900,39.99
18735300,29.99
18216900,39.99
18303300,39.99
18389700,39.99
18476100,39.99
18562500,39.99
18648900,39.99
18735300,29.99
18821700,29.99
18908100,29.99
18994500,29.99
19080900,39.99
19167300,39.99
19253700,39.99
19340100,29.99
19426500,29.99
19512900,29.99
19599300,29.99
19685700,29.99
19772100,29.99
19858500,29.99
19944900,29.99
20031300,29.99
20117700,29.99
20204100,29.99
20290500,29.99
20376900,29.99
20463300,29.99
20549700,29.99
20636100,24.99
20722500,24.99
20808900,24.99
20895300,29.99
20981700,29.99
21068100,39.99
21154500,24.99
20636100,24.99
20722500,24.99
20808900,24.99
20895300,29.99
20981700,29.99
21068100,39.99
21154500,24.99
21240900,24.99
21327300,29.99
21413700,29.99
21500100,39.99
21586500,39.99
21672900,39.99
21759300,39.99
21845700,29.99
21932100,39.99
22018500,49.99
22104900,59.99
22191300,49.99
22277700,59.99
22364100,49.99
22450500,59.99
22536900,59.99
22623300,59.99
22709700,69.98
22796100,69.98
22882500,59.99
22968900,49.99
23055300,59.99
23141700,39.99
23228100,49.99
23314500,59.99
23400900,59.99
23487300,59.99
23573700,39.99
23055300,59.99
23141700,39.99
23228100,49.99
23314500,59.99
23400900,59.99
23487300,59.99
23573700,39.99
23660100,39.99
23746500,59.99
23832900,59.99
23919300,69.98
24005700,69.98
24092100,59.99
24178500,49.99
24264900,39.99
24351300,39.99
24437700,49.99
24524100,59.99
24610500,59.99
24696900,59.99
24783300,49.99
24869700,59.99
24956100,59.99
25042500,49.99
25128900,69.98
25215300,69.98
25301700,59.99
25388100,59.99
25474500,59.99
25560900,59.99
25647300,49.99
25733700,59.99
25820100,39.99
25906500,29.99
75600,69.98
162000,69.98
248400,59.99
334800,59.99
421200,14.99
507600,14.99
594000,14.99
680400,14.99
766800,14.99
853200,24.99
939600,29.99
1026000,14.99
1112400,24.99
1198800,14.99
1285200,14.99
1371600,14.99
1458000,19.98
1544400,49.99
1630800,14.99
1717200,24.99
1803600,14.99
1890000,14.99
1976400,14.99
2062800,49.99
2149200,39.99
2235600,24.99
2322000,29.99
2408400,14.99
2494800,14.99
2581200,14.99
2667600,39.99
2754000,69.98
2840400,39.99
2926800,49.99
2408400,14.99
2494800,14.99
2581200,14.99
2667600,39.99
2754000,69.98
2840400,39.99
2926800,49.99
3013200,39.99
3099600,14.99
3186000,14.99
3272400,14.99
3358800,39.99
3445200,24.99
3531600,49.99
3618000,14.99
3704400,14.99
3790800,14.99
3877200,14.99
3963600,24.99
4050000,14.99
4136400,24.99
4222800,14.99
4309200,14.99
4395600,14.99
4482000,14.99
4568400,29.99
4654800,14.99
4741200,19.98
4827600,14.99
4914000,14.99
5000400,14.99
5086800,29.99
