Idx,lambda,CrossValidationError,ThetaParas (30)...
0,0.109800,0.015851,0.099353,-0.062715,0.102850,0.109012,0.049393,0.073226,0.046805,0.069583,0.100124,0.094583,0.017139,0.088424,0.011012,0.120627,0.071792,0.016188,0.160015,0.059171,0.083107,-0.048588,-0.040673,-0.011781,0.017573,0.034281,0.106650,0.105829,0.046675,0.036956,-0.020515,0.020185,0.172255
1,0.109800,0.016336,0.099163,-0.062993,0.102989,0.108853,0.049591,0.073147,0.046725,0.069788,0.099529,0.095219,0.017386,0.088893,0.011485,0.120693,0.071398,0.016706,0.160320,0.059384,0.083151,-0.048452,-0.040510,-0.011813,0.017946,0.034318,0.106698,0.105853,0.046940,0.037253,-0.019912,0.020068,0.172229
2,0.109800,0.016474,0.098261,-0.061918,0.102433,0.109013,0.049489,0.072938,0.046197,0.069710,0.100108,0.095108,0.017185,0.088796,0.010530,0.120397,0.071007,0.016286,0.160376,0.059225,0.083225,-0.047510,-0.039530,-0.011031,0.018829,0.034875,0.107261,0.106203,0.047324,0.037506,-0.020324,0.020534,0.172154
3,0.109800,0.016283,0.098918,-0.062477,0.102707,0.109551,0.049889,0.072876,0.046680,0.070049,0.100032,0.095265,0.017330,0.089057,0.011263,0.121013,0.071814,0.016381,0.160448,0.059354,0.083631,-0.048185,-0.040620,-0.011888,0.017694,0.034338,0.106664,0.105365,0.046709,0.037032,-0.020390,0.019446,0.172151
4,5.000000,0.016219,0.098302,-0.062379,0.102434,0.109110,0.049629,0.073340,0.046524,0.069302,0.099826,0.095367,0.017165,0.088262,0.011188,0.120414,0.071483,0.016153,0.160245,0.059293,0.083091,-0.047163,-0.039527,-0.011085,0.018754,0.035251,0.107732,0.106453,0.047546,0.037757,-0.019380,0.020451,0.172190
5,0.109800,0.015807,0.098789,-0.062460,0.102878,0.109361,0.049642,0.073140,0.046587,0.069785,0.099302,0.095199,0.017382,0.088426,0.011022,0.120806,0.071703,0.016632,0.160659,0.059144,0.083192,-0.047935,-0.040192,-0.011498,0.018152,0.034888,0.106760,0.106003,0.047015,0.037284,-0.019746,0.020584,0.172280
6,5.000000,0.016082,0.098472,-0.062428,0.103162,0.109383,0.050133,0.073208,0.046842,0.070435,0.100164,0.095307,0.017763,0.089065,0.011633,0.120923,0.071724,0.016730,0.160576,0.059759,0.083361,-0.047904,-0.040408,-0.011677,0.018013,0.034610,0.106676,0.105913,0.046905,0.037355,-0.020448,0.019450,0.172203
7,5.000000,0.016386,0.097773,-0.062038,0.103382,0.109825,0.050118,0.073192,0.047605,0.070143,0.100240,0.095325,0.017897,0.089081,0.011928,0.121473,0.071887,0.017225,0.161374,0.059668,0.083974,-0.047426,-0.039890,-0.011114,0.018293,0.035024,0.107050,0.106145,0.047287,0.037509,-0.019954,0.020424,0.172172
8,5.000000,0.016143,0.098782,-0.062539,0.103083,0.109642,0.049883,0.072532,0.046784,0.070012,0.099750,0.095442,0.017672,0.088841,0.011492,0.120688,0.071990,0.016472,0.160921,0.059831,0.083436,-0.048089,-0.040130,-0.011683,0.018059,0.034464,0.106212,0.105898,0.046645,0.037101,-0.020229,0.019507,0.172162
9,0.109800,0.016078,0.099157,-0.062464,0.102552,0.109360,0.049559,0.072769,0.046686,0.069711,0.099766,0.094956,0.017494,0.088859,0.011550,0.120767,0.071511,0.016401,0.160402,0.059481,0.083158,-0.048501,-0.040453,-0.012045,0.017803,0.034485,0.106452,0.105191,0.046713,0.036919,-0.020335,0.019623,0.172155
