Idx,lambda,CrossValidationError,ThetaParas (31)...
0,0.109800,0.016320,0.101788,-0.120712,0.062799,0.102787,0.109402,0.049772,0.073376,0.046660,0.070102,0.099765,0.095285,0.017463,0.088564,0.011389,0.120827,0.071394,0.016704,0.160818,0.059210,0.083332,-0.046273,-0.035370,-0.004084,0.027332,0.044606,0.116656,0.114564,0.054077,0.041797,-0.017464,0.019949,0.172146
1,0.109800,0.024066,0.101793,-0.122351,0.064487,0.103408,0.109736,0.049790,0.073302,0.046743,0.069920,0.100347,0.095376,0.017677,0.088757,0.011371,0.121099,0.072062,0.016518,0.160282,0.059571,0.083477,-0.045983,-0.035321,-0.003803,0.027591,0.044726,0.116984,0.115041,0.053975,0.041895,-0.017131,0.020711,0.172212
2,0.109800,0.015855,0.102876,-0.124014,0.065882,0.102971,0.109125,0.049726,0.072889,0.046676,0.069898,0.099879,0.095413,0.017300,0.088790,0.011061,0.120606,0.071734,0.016593,0.160214,0.059481,0.083710,-0.046718,-0.036017,-0.004407,0.026773,0.044500,0.116324,0.114604,0.053772,0.041349,-0.017691,0.019380,0.172193
3,5.000000,0.016299,0.101716,-0.122548,0.064677,0.103472,0.109357,0.050056,0.072950,0.047086,0.070285,0.099970,0.095202,0.017669,0.088881,0.011078,0.121371,0.072102,0.016724,0.160785,0.059747,0.083750,-0.046133,-0.035056,-0.003996,0.027393,0.044774,0.116672,0.115008,0.054356,0.041947,-0.017408,0.020027,0.172115
4,5.000000,0.016012,0.102207,-0.122297,0.064068,0.102580,0.109373,0.049989,0.073417,0.046727,0.069904,0.100049,0.095385,0.017183,0.089010,0.011816,0.120505,0.071596,0.016476,0.160390,0.059113,0.083611,-0.046257,-0.035865,-0.004288,0.027202,0.044454,0.117023,0.115002,0.053968,0.041697,-0.017196,0.020832,0.172253
5,0.109800,0.024183,0.102653,-0.123123,0.064784,0.102469,0.109551,0.049624,0.072565,0.046787,0.069789,0.099790,0.095070,0.017168,0.088674,0.011043,0.120245,0.071713,0.016104,0.160352,0.059223,0.083292,-0.046514,-0.035787,-0.004035,0.027101,0.044441,0.116443,0.114849,0.053897,0.041800,-0.016772,0.020095,0.172262
6,5.000000,0.016052,0.102139,-0.123073,0.064880,0.102798,0.109520,0.049843,0.072983,0.046653,0.069773,0.100087,0.095187,0.017405,0.088964,0.011402,0.120265,0.071853,0.016369,0.160701,0.059514,0.083516,-0.046161,-0.035227,-0.003745,0.027407,0.044602,0.116712,0.114882,0.054202,0.042121,-0.016944,0.020227,0.172169
7,5.000000,0.016349,0.101655,-0.122880,0.064291,0.103238,0.109360,0.050070,0.072989,0.047160,0.070145,0.100058,0.095192,0.017728,0.089266,0.011599,0.121214,0.071452,0.016807,0.160708,0.059719,0.083595,-0.046142,-0.034853,-0.003552,0.027773,0.045206,0.117447,0.115761,0.054682,0.042509,-0.016512,0.020707,0.172217
8,0.109800,0.016555,0.101586,-0.120053,0.062832,0.102694,0.108920,0.049733,0.073237,0.046939,0.069876,0.099629,0.095131,0.017438,0.089038,0.010947,0.120861,0.071370,0.016274,0.160306,0.059463,0.083126,-0.046029,-0.035252,-0.004100,0.027486,0.044729,0.116808,0.114377,0.053742,0.041621,-0.017455,0.020965,0.172145
9,0.109800,0.016446,0.102269,-0.122705,0.064917,0.102872,0.109578,0.049928,0.073625,0.046662,0.070020,0.100203,0.095192,0.017457,0.089043,0.011608,0.120809,0.071251,0.016673,0.160783,0.059462,0.083237,-0.046664,-0.035582,-0.004294,0.026982,0.044489,0.116645,0.114731,0.053753,0.041475,-0.017238,0.019857,0.172237
