dateBeforeFlight, Price
109800,151.68
196200,129.34
282600,111.47
369000,89.13
455400,111.47
541800,89.13
628200,71.26
714600,51.15
801000,39.98
887400,51.15
973800,39.98
1060200,28.81
1146600,39.98
1233000,15.41
1319400,8.71
1405800,8.71
1492200,22.11
1578600,24.34
1665000,28.81
1751400,15.41
1837800,8.71
1924200,8.71
2010600,8.71
2097000,8.71
2183400,28.81
2269800,24.34
2356200,15.41
2442600,22.11
2529000,8.71
2615400,8.71
2701800,22.11
2788200,24.34
2874600,28.81
2961000,28.81
2442600,22.11
2529000,8.71
2615400,8.71
2701800,22.11
2788200,24.34
2874600,28.81
2961000,28.81
3047400,15.41
3133800,8.71
3220200,8.71
3306600,8.71
3393000,15.41
3479400,8.71
3565800,15.41
3652200,8.71
3738600,15.41
3825000,8.71
3911400,8.71
3997800,22.11
4084200,24.34
4170600,8.71
4257000,15.41
4343400,8.71
4429800,8.71
4516200,8.71
4602600,15.41
4689000,8.71
4775400,15.41
4861800,15.41
4948200,8.71
5034600,8.71
5121000,15.41
5207400,24.34
5293800,28.81
5380200,8.71
4861800,15.41
4948200,8.71
5034600,8.71
5121000,15.41
5207400,24.34
5293800,28.81
5380200,8.71
5466600,22.11
5553000,15.41
5639400,15.41
5725800,15.41
5812200,28.81
5898600,28.81
5985000,8.71
6071400,51.15
6157800,28.81
6244200,15.41
6330600,22.11
6417000,24.34
6503400,60.09
6589800,15.41
6676200,15.41
6762600,15.41
6849000,8.71
6935400,24.34
7021800,24.34
7108200,28.81
7215300,22.11
7301700,28.81
7388100,28.81
7474500,22.11
7560900,22.11
7647300,39.98
7733700,24.34
7820100,24.34
7301700,28.81
7388100,28.81
7474500,22.11
7560900,22.11
7647300,39.98
7733700,24.34
7820100,24.34
7906500,24.34
7992900,15.41
8079300,24.34
8165700,24.34
8252100,28.81
8338500,24.34
8424900,24.34
8511300,24.34
8597700,28.81
8684100,24.34
8770500,39.98
8856900,28.81
8943300,28.81
9029700,28.81
9116100,24.34
9202500,22.11
9288900,22.11
9375300,39.98
9461700,24.34
9548100,24.34
9634500,22.11
9720900,51.15
9807300,24.34
9893700,28.81
9980100,39.98
10066500,39.98
10152900,24.34
10239300,24.34
9720900,51.15
