dateBeforeFlight, Price
67500,190.06
240300,159.19
326700,129.95
413100,110.45
499500,110.45
585900,89.33
672300,89.33
845100,60.09
931500,60.09
1017900,50.34
1104300,60.09
1190700,60.09
1277100,50.34
1449900,40.59
1536300,40.59
1622700,40.59
1709100,40.59
1795500,60.09
1881900,40.59
2054700,24.35
2141100,19.47
2227500,19.47
2313900,24.35
2400300,29.22
1881900,40.59
2054700,24.35
2141100,19.47
2227500,19.47
2313900,24.35
2400300,29.22
2486700,24.35
2614500,29.22
2832300,14.6
2918700,14.6
3005100,14.6
3091500,14.6
3264300,14.6
3350700,19.47
3437100,29.22
3523500,40.59
3609900,40.59
3696300,29.22
3782700,29.22
3869100,40.59
4128300,89.33
4214700,89.33
4301100,89.33
4387500,89.33
4473900,89.33
4646700,129.95
4733100,159.19
4819500,190.06
4301100,89.33
4387500,89.33
4473900,89.33
4646700,129.95
4733100,159.19
4819500,190.06
4905900,159.19
4992300,159.19
5078700,159.19
5165100,159.19
5251500,190.06
5337900,190.06
5424300,190.06
5510700,129.95
5683500,190.06
5856300,60.09
5942700,60.09
6029100,50.34
6115500,40.59
6288300,29.22
6461100,29.22
6547500,29.22
6633900,40.59
6720300,24.35
6893100,60.09
7065900,24.35
7152300,19.47
7238700,29.22
7325100,24.35
7497900,29.22
7670700,29.22
7757100,29.22
7843500,29.22
7325100,24.35
7497900,29.22
7670700,29.22
7757100,29.22
7843500,29.22
7929900,24.35
8102700,24.35
8275500,24.35
8361900,40.59
8448300,29.22
8534700,29.22
8707500,40.59
8880300,40.59
8966700,40.59
9053100,60.09
9139500,40.59
9312300,40.59
9485100,60.09
9571500,60.09
9657900,89.33
9744300,50.34
9917100,50.34
10089900,50.34
10176300,50.34
10262700,50.34
9744300,50.34
9917100,50.34
10089900,50.34
10176300,50.34
10262700,50.34
10349100,40.59
10521900,50.34
10694700,50.34
10781100,50.34
10867500,50.34
10953900,40.59
11126700,40.59
11299500,40.59
11385900,40.59
11472300,40.59
11558700,40.59
11731500,40.59
11817900,50.34
11904300,89.33
11990700,50.34
12071700,89.33
12158100,89.33
12244500,89.33
12330900,89.33
12417300,89.33
12503700,69.84
12590100,69.84
12676500,69.84
12158100,89.33
12244500,89.33
12330900,89.33
12417300,89.33
12503700,69.84
12590100,69.84
12676500,69.84
12762900,50.34
12849300,50.34
12935700,50.34
13022100,50.34
13108500,50.34
13194900,50.34
13281300,50.34
13367700,60.09
13454100,50.34
13540500,50.34
13626900,29.22
13713300,40.59
13799700,40.59
13886100,40.59
13972500,40.59
14058900,40.59
14145300,40.59
14231700,40.59
14318100,60.09
14404500,40.59
14490900,50.34
14577300,50.34
14663700,50.34
14750100,50.34
14836500,60.09
14922900,69.84
15009300,69.84
15095700,89.33
14577300,50.34
14663700,50.34
14750100,50.34
14836500,60.09
14922900,69.84
15009300,69.84
15095700,89.33
15182100,89.33
15268500,89.33
15354900,69.84
15441300,69.84
15527700,69.84
15614100,89.33
15700500,110.45
15786900,159.19
15873300,60.09
15959700,50.34
16046100,50.34
16132500,60.09
16218900,60.09
16305300,60.09
16391700,89.33
16478100,40.59
16564500,40.59
16650900,40.59
16737300,40.59
16823700,40.59
16910100,50.34
16996500,40.59
17082900,40.59
17169300,29.22
17255700,29.22
17342100,40.59
17428500,40.59
17514900,40.59
17601300,29.22
17687700,29.22
17774100,24.35
17860500,24.35
17946900,24.35
18033300,29.22
18119700,29.22
17601300,29.22
17687700,29.22
17774100,24.35
17860500,24.35
17946900,24.35
18033300,29.22
18119700,29.22
18206100,40.59
18292500,19.47
18378900,14.6
18465300,14.6
18551700,19.47
18638100,24.35
18724500,24.35
18810900,24.35
18897300,19.47
18983700,19.47
19070100,19.47
19156500,24.35
19242900,29.22
19329300,29.22
19415700,24.35
19502100,29.22
19588500,14.6
19674900,14.6
19761300,19.47
19847700,29.22
19934100,19.47
20020500,14.6
20106900,14.6
20193300,14.6
20279700,14.6
20366100,24.35
20452500,29.22
20538900,29.22
20020500,14.6
20106900,14.6
20193300,14.6
20279700,14.6
20366100,24.35
20452500,29.22
20538900,29.22
20625300,24.35
20711700,24.35
20798100,29.22
20884500,29.22
20970900,50.34
21057300,40.59
21143700,40.59
21230100,40.59
21316500,40.59
21402900,40.59
21489300,40.59
21575700,50.34
21662100,60.09
21748500,69.84
21834900,89.33
21921300,69.84
22007700,89.33
22094100,89.33
22180500,190.06
22266900,159.19
22353300,129.95
22439700,129.95
22526100,159.19
22612500,159.19
22698900,159.19
22785300,190.06
22871700,190.06
22958100,190.06
23044500,190.06
23130900,190.06
23217300,190.06
23303700,190.06
23390100,190.06
23476500,190.06
23562900,190.06
23044500,190.06
23130900,190.06
23217300,190.06
23303700,190.06
23390100,190.06
23476500,190.06
23562900,190.06
23649300,190.06
23735700,190.06
23822100,190.06
23908500,190.06
23994900,190.06
24081300,219.3
24167700,219.3
24254100,190.06
24340500,190.06
24426900,190.06
24513300,190.06
24599700,190.06
24686100,190.06
24772500,190.06
24858900,159.19
24945300,159.19
25031700,129.95
25118100,129.95
25204500,129.95
25290900,129.95
25377300,129.95
25463700,129.95
25550100,129.95
25636500,110.45
25722900,110.45
25809300,110.45
25895700,110.45
25982100,89.33
25463700,129.95
25550100,129.95
25636500,110.45
25722900,110.45
25809300,110.45
25895700,110.45
25982100,89.33
26068500,89.33
26154900,89.33
26241300,89.33
26327700,89.33
26414100,89.33
26500500,89.33
26586900,89.33
26673300,89.33
26759700,69.84
26846100,69.84
26932500,69.84
27018900,69.84
27105300,69.84
27191700,69.84
27278100,69.84
27364500,69.84
27450900,69.84
27537300,69.84
27623700,69.84
27710100,69.84
27796500,69.84
27882900,69.84
27969300,60.09
28055700,60.09
28142100,69.84
28228500,69.84
28314900,69.84
28401300,69.84
27882900,69.84
27969300,60.09
28055700,60.09
28142100,69.84
28228500,69.84
28314900,69.84
28401300,69.84
28487700,69.84
28574100,69.84
